;Heure;date_heure;weekday;date;vacances_zone_a;vacances_zone_b;vacances_zone_c;nom_vacances;Vac_Ete;Vac_Hiver;Vac_Ascension;Vac_Printemps;Vac_Toussaint;Vac_Noel;est_jour_ferie;nom_jour_ferie;num_sem;Mois;Année;Lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche;veille_jour_ferie;lendemain_jour_ferie;trafic_passager_heure;nb_transaction_carte_abo_heure;nb_transaction_voyages_heure;nb_appels_entrants_cor
85;13;2018-01-04 13:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;0.466312811710993;-0.7836505082239534;0.37645364510217993
86;14;2018-01-04 14:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;0.6837245102755414;-0.748095270759434;0.6248501010828291
87;15;2018-01-04 15:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;0.5414186712151097;-0.7713677898271195;0.4622633298954951
88;16;2018-01-04 16:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;0.5690892510324158;-0.7668425777861806;0.4938774242930323
89;17;2018-01-04 17:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;0.42678341197198416;-0.7901150968538659;0.3312906531056983
90;18;2018-01-04 18:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;0.6758186303277396;-0.7493881884854166;0.6158175026835327
91;19;2018-01-04 19:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;0.12635997395551737;-0.8392459704412017;-0.011948086067562421
92;20;2018-01-04 20:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;-0.27683990338237235;-0.9051847744663103;-0.47261060443167546
93;21;2018-01-04 21:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;-0.383569282677696;-0.9226391637670744;-0.5945506828221759
94;22;2018-01-04 22:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
95;23;2018-01-04 23:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
96;0;2018-01-05 00:00:00;Friday;2018-01-05;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;0;1;0;0;False;False;-0.9630042274211081;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
97;1;2018-01-05 01:00:00;Friday;2018-01-05;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;0;1;0;0;False;False;-0.9630042274211081;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
